K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
0.55,3,0.15378978394866985,0.06130013919031733,0.1104,0.3246718959195575,0,0.8932,0.0612,0.1568,0.0021221074939085332
0.55,4,0.27779222005781495,0.042592633005384135,0.2684,0.507899045086718,0,0.7604,0.1352,0.0832,0.016452841156308146
0.55,5,0.21052052181733033,0.058917986182903406,0.1988,0.44190333784663816,0,0.8192,0.1008,0.1572,0.008053529326949478
0.55,6,0.09629125653447322,0.04363140864508514,0.046,0.2169884789568331,0,0.9556,0.028,0.6564,0.00026976008667342334
0.55,7,0.3672560005365355,0.041889082665308,0.7112,0.8171869798277503,0,0.48,0.2656,0.0796,0.1128633285829075
0.55,8,0.1396632734466582,0.07098096790779022,0.0676,0.2634961859306506,0,0.9356,0.0456,0.4524,0.0007737934564205403
0.55,9,0.18179293175019998,0.06496529131125911,0.1224,0.33973260073181083,0,0.8816,0.0832,0.24,0.0033466651221213187
0.55,10,0.2487131984447369,0.04555197833431302,0.2572,0.5010470636576967,0,0.7708,0.1236,0.122,0.014194222506846514
0.55,11,0.2715486566812927,0.05157436812257481,0.3532,0.5936747931317279,0,0.7004,0.164,0.0796,0.02916985493351654
0.55,12,0.10879669022523453,0.07013765711209284,0.0628,0.2570139295835928,0,0.9408,0.0352,0.6612,0.000535575922238699
0.55,13,0.09755648233710451,0.057950738507012184,0.0528,0.2324051634538269,0,0.9492,0.0336,0.6616,0.00039668773720224993
0.55,14,0.0964403112774036,0.04208822508523977,0.0392,0.19814984229113078,0,0.9616,0.0284,0.5972,0.00021609429961796947
0.55,15,0.15032448711632593,0.05123960299555214,0.0832,0.2776288169480971,0,0.9172,0.048,0.2484,0.001103407993066183
0.55,16,0.14053804134394052,0.05899669799260214,0.0764,0.2701167155138682,0,0.9248,0.0532,0.3428,0.001080639757066179
0.55,17,0.20492893326855155,0.05862279533122349,0.1784,0.4365471795808558,0,0.8428,0.1024,0.1664,0.007027222251548536
0.55,18,0.18970247822165148,0.06158058479614985,0.1348,0.355287151470469,0,0.87,0.0756,0.1588,0.003491762170839099
0.55,19,0.11819107090323662,0.05065582782845854,0.0796,0.2736125728105344,0,0.9212,0.048,0.2976,0.0010349122169592358
0.6,0,0.11122680545650193,0.042909013024304304,0.0608,0.2519987301555308,0,0.9424,0.042,0.5936,0.0006096353425073869
0.6,1,0.38141437980658405,0.03436314267974926,0.9184,0.8875479930685439,1,0.396,0.3004,0.0796,0.1610381284752245
0.6,2,0.11425674603827451,0.04812246428875874,0.0496,0.22965156215449528,0,0.9532,0.0352,0.5636,0.00037831880817852204
0.6,3,0.2216943218336114,0.07928906822942712,0.2324,0.48907079242171064,0,0.794,0.118,0.1936,0.011888332922935523
0.6,4,0.3249647013443885,0.05209529369831945,0.4612,0.6785974948376983,0,0.63,0.2108,0.0796,0.052927890458442185
0.6,5,0.16105674795045075,0.09251283527827593,0.11,0.3536947836765479,0,0.902,0.0628,0.3644,0.0021767792113210347
0.6,6,0.14605475737941798,0.06296342290373838,0.1116,0.33338482268993586,0,0.8944,0.0584,0.2264,0.00205599757212718
