topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.7,5,0.7428730925067453,0.001091353203892699,1.425,0.5834166607151359,1,0.623,0.022,0.0995,0.0048388580039194174
all_to_all,0.7,6,0.6367688566313456,0.005162572349954668,3.5835,1.2004281527854967,4,0.344,0.1555,0.0995,0.12245327579682383
all_to_all,0.7,7,0.7758084380775901,0.0010542250720404931,1.422,0.4938785275753544,1,0.578,0.0115,0.0995,0.0023967927027399335
all_to_all,0.7,8,0.6352986154784552,0.0036468998421906183,3.7405,1.2017319792699204,3,0.3,0.157,0.0995,0.13207034536297663
all_to_all,0.7,9,0.70041252218955,0.002698017475347099,2.14,0.8991106717195609,2,0.4505,0.0635,0.0995,0.031372893940039885
all_to_all,0.7,10,0.7468358872097063,0.0018589337421060813,1.6335,0.6929485911667618,1,0.477,0.0265,0.0995,0.009603921361687848
all_to_all,0.7,11,0.7625005937100395,0.0019469405483961647,1.7985,0.7549157237731905,2,0.466,0.037,0.0995,0.014915625273435694
all_to_all,0.7,12,0.7206686323186332,0.0016560710398068718,1.7955,0.7153179363052488,2,0.448,0.0295,0.0995,0.011648237669650173
all_to_all,0.7,13,0.6713386865477803,0.0034309955215998666,3.3725,1.1170245073408194,3,0.363,0.1545,0.0995,0.10993364313825235
all_to_all,0.7,14,0.7430586664587481,0.0010729083013423276,1.488,0.5411617133537812,1,0.5335,0.014,0.0995,0.003534327402365484
all_to_all,0.7,15,0.6583224422107726,0.002475826524078198,2.1255,0.8641468335879037,2,0.434,0.0385,0.0995,0.018830624139821117
all_to_all,0.7,16,0.7137853891063837,0.0017464401347645573,1.44,0.4963869458396342,1,0.56,0.012,0.0995,0.0026209232924435245
all_to_all,0.7,17,0.7196710932823748,0.0022319810173671846,2.26,0.893532316147547,2,0.477,0.0605,0.0995,0.02827270324870001
all_to_all,0.7,18,0.6719542568749712,0.004502234339782556,3.568,1.053269196359601,4,0.359,0.1365,0.0995,0.0921573689144234
all_to_all,0.7,19,0.7141529525402779,0.003178906892425713,2.6685,1.1504815296214017,3,0.3325,0.079,0.0995,0.060667768028706985
all_to_all,0.75,0,0.7898344442539846,0.0011726317342454068,1.415,0.4927220311697053,1,0.585,0.014,0.0995,0.0028627152055756312
all_to_all,0.75,1,0.8405849889497179,1.8181856234998608e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.75,2,0.7604847035390028,3.606566539767062e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.75,3,0.7845180064010049,0.00026944175917694585,1.0905,0.2868967584341099,1,0.9095,0.0045,0.6685,0.00011683873083644793
all_to_all,0.75,4,0.7769242337682031,0.00019559742108916337,1.0155,0.12353036064061339,1,0.9845,0.002,0.874,3.829443094579594e-06
all_to_all,0.75,5,0.8020900324336443,1.0135151274787368e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.75,6,0.754426342392633,0.00014887692297634863,1.1675,0.373421678535138,1,0.8325,0.0085,0.585,0.0005316591773625339
all_to_all,0.75,7,0.8247098390382195,2.8569879513185575e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.75,8,0.746781490788482,0.0005816242707051597,1.5845,0.4968498264063298,2,0.5805,0.0205,0.0995,0.004272784503066337
all_to_all,0.75,9,0.7773729526765689,8.087008201506323e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.75,10,0.8035693158148981,0.00013757404582773235,1.0295,0.1692032801100499,1,0.9705,0.0025,0.9125,1.247874689961293e-05
all_to_all,0.75,11,0.8126943995611827,0.00046108989806252097,2.0615,0.795435572501004,2,0.3635,0.0345,0.0995,0.017467169101737418
all_to_all,0.75,12,0.7853680316905074,5.450721199415209e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.75,13,0.7512102677507397,0.00027438763417388773,1.0755,0.2641964231400569,1,0.9245,0.004,0.721,7.978733973512716e-05
all_to_all,0.75,14,0.8037703797980543,1.6195367035042502e-05,1.976,0.15304901175767188,2,0.976,0.0015,0.9185,5.5097680964524745e-06
all_to_all,0.75,15,0.7638022655252475,8.911670739745747e-05,1.0305,0.17195857059187253,1,0.9695,0.0015,0.9045,7.867109849314564e-06
all_to_all,0.75,16,0.7837140115931396,0.0001799236580116199,1.1755,0.38039420342586716,1,0.8245,0.0075,0.425,0.0005006939370184802
all_to_all,0.75,17,0.7817952026490202,0.0007259394519351318,1.4045,0.4907950183121259,1,0.5955,0.013,0.0995,0.0025808458023208985
all_to_all,0.75,18,0.7505900981688853,0.0002691342873048844,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.75,19,0.7888505757433484,1.063311715099701e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,0,0.8300835323668189,6.458143729407145e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,1,0.8673014958060333,5.121361512789466e-07,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.8,2,0.8114100590141545,2.743110795715127e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,3,0.8246478014832295,7.334009139750433e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,4,0.8201235851990466,5.595796789619957e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,5,0.8392519475901252,5.096484865841709e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,6,0.807904786824865,1.1375216250189802e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,7,0.8565737792463083,6.241800653142083e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
