K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.5,2,0.10392277319714115,0.05698201696289973,0,0.9524,0.0346,,0.5994,0.0492,0.22356064054300792,2.6744186046511627,1.6,13,3,173
0.5,3,0.08916373215179847,0.03633998333551429,0,0.9568,0.028,,0.5544,0.0444,0.2117277497164696,3.0434782608695654,3.0,10,4,140
0.5,4,0.10751189248330816,0.06093668487273274,0,0.9472,0.0308,,0.5842,0.0566,0.24697457359007627,3.310810810810811,1.7272727272727273,14,4,154
0.5,5,0.12680597596331092,0.041519364337463775,0,0.935,0.0398,,0.463,0.0652,0.24768722211692712,3.272727272727273,1.0,16,1,199
0.5,6,0.09947238857742305,0.054204992884134405,0,0.9422,0.035,,0.4098,0.0606,0.2500552738895943,3.125,1.75,11,3,175
0.5,7,0.14634419913289726,0.06150994117407885,0,0.9092,0.0554,,0.2712,0.0954,0.3090288659656247,3.1925925925925926,1.6428571428571428,15,5,277
0.5,8,0.1375425142394998,0.05102035768932065,0,0.9188,0.0552,,0.2996,0.0834,0.28433156701288026,2.883211678832117,1.375,14,3,276
0.5,9,0.0840826340902121,0.050843870230517126,0,0.958,0.0318,,0.6122,0.0424,0.2034754039189995,2.632911392405063,1.0,9,1,159
0.5,10,0.15583268567662698,0.06942044225360663,0,0.9066,0.0616,,0.5084,0.1004,0.32606723233100254,2.9133333333333336,1.6666666666666667,12,4,308
0.5,11,0.09959301950883379,0.045294210926978884,0,0.9596,0.0284,,0.6248,0.0404,0.19689550528135474,2.8450704225352115,0.0,9,0,142
0.5,12,0.1327339114017661,0.05740873087786444,0,0.9268,0.05,,0.393,0.0764,0.2774221332193954,2.845528455284553,2.2857142857142856,10,4,250
0.5,13,0.11013325677907981,0.04542569798659375,0,0.948,0.0318,,0.4904,0.054,0.234699808265793,3.2051282051282053,2.0,11,4,159
0.5,14,0.1455070622342088,0.052644302635552385,0,0.9016,0.0552,,0.3004,0.1012,0.31073873269999674,3.489051094890511,2.3333333333333335,15,5,276
0.5,15,0.09953987551977739,0.039656875716305356,0,0.9502,0.0296,,0.5016,0.0504,0.22149455975260432,3.324324324324324,1.0,12,1,148
