K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.75,11,0.5481064141839649,0.12695579686438968,4,0.2208,0.498,,0.0398,3.688,1.9277593210771928,2.2844827586206895,1.8263859045981952,14,10,2490
0.75,12,0.6012743112668393,0.1312205515789526,6,0.228,0.5452,,0.0398,5.1792,2.151810251857724,2.5,1.6977611940298507,10,9,2726
0.75,13,0.6691391588307201,0.14030542592523082,7,0.2022,0.5158,,0.0398,6.1264,2.6107514320593603,2.883116883116883,1.8275162337662338,13,14,2579
0.75,14,0.6164648230689452,0.08664877824013861,5,0.242,0.5752,,0.0398,4.6712,1.7862504191741986,2.0851063829787235,1.684341637010676,8,11,2876
0.75,15,0.601435856018472,0.12609281704727543,5,0.2368,0.5356,,0.0398,4.7976,1.9553603862204023,3.391304347826087,1.7522056003068662,14,12,2678
0.75,16,0.5599792458723638,0.22663215248992905,0,0.1966,0.443,,0.1044,4.9574,3.155944429168549,2.9404761904761907,1.8177434908389585,11,11,2215
0.75,17,0.6102620312499397,0.12135231983788891,6,0.2178,0.55,,0.0398,5.1288,2.1894772344100772,2.5316455696202533,1.7176960970064419,8,12,2750
0.75,18,0.5089887021115884,0.12220124930931085,3,0.2358,0.497,,0.0738,2.9756,1.6229000708608032,2.0929203539823007,1.8494575045207957,22,13,2485
0.75,19,0.5807442251787983,0.15938579337145145,5,0.2186,0.5192,,0.0456,4.712,2.306654720585636,2.619718309859155,1.732365981459089,10,11,2596
0.8,0,0.6435730568048336,0.17563983455557966,6,0.2154,0.4508,,0.0602,5.7562,2.6322540834805443,2.5609756097560976,1.987214611872146,11,17,2254
0.8,1,0.6881363300785105,0.173239797052516,7,0.215,0.4806,,0.0398,6.2174,2.496665223853611,3.075,1.9380606578385304,11,12,2403
0.8,2,0.6371267114343572,0.14874485149430597,6,0.2354,0.5412,,0.0398,5.629,2.3208099879137025,3.1555555555555554,1.7054794520547945,13,11,2706
0.8,3,0.6104688387855601,0.1730773905799074,6,0.2378,0.532,,0.0772,5.246,2.471979773380033,2.577777777777778,1.6721943694562282,12,11,2660
0.8,4,0.7115520736339722,0.0931206915303716,7,0.2494,0.535,,0.0398,6.725,1.9955387743664617,2.4705882352941178,1.8247927656367746,7,12,2675
0.8,5,0.692448410064108,0.14448813710622369,7,0.2294,0.4906,,0.0398,6.4716,2.507108581613489,2.857142857142857,1.9163514081546869,21,18,2453
0.8,6,0.6911953000327397,0.15458098481588106,7,0.2272,0.5078,,0.0398,6.544,2.526353894449469,2.7804878048780486,1.8572583906186817,14,14,2539
0.8,7,0.6027411921674349,0.21380061155084695,6,0.2174,0.4732,,0.0642,5.286,2.779101293583953,2.265625,1.818946436476317,8,11,2366
0.8,8,0.5612009303065663,0.20004122855342296,6,0.2052,0.5006,,0.0622,4.5548,2.5842207645632755,3.0677966101694913,1.6611157368859284,17,11,2503
