seed,branch,K,R_mean,R_std,cluster_mean,cluster_std,cluster_final
4,down,0.9,0.871903376996754,4.638415899430306e-06,1.148,0.355099985919459,1
4,down,0.875,0.8616577874689704,8.121323620306115e-06,1.172,0.37738044464439324,2
4,down,0.85,0.8498984672356726,1.4580470926259988e-05,1.0,0.0,1
4,down,0.825,0.8362462156506759,2.6947382487997426e-05,1.0,0.0,1
4,down,0.8,0.8201673367218608,5.154692023558986e-05,1.0,0.0,1
4,down,0.775,0.8008748578011816,0.00010286863479556964,1.0,0.0,1
4,down,0.75,0.7771336553573115,0.00021690349692335853,1.0,0.0,1
4,down,0.725,0.7468353661573963,0.0004947184674070003,1.0,0.0,1
4,down,0.7,0.7060645907448679,0.001283671820763694,1.0,0.0,1
4,down,0.675,0.6470299914039507,0.003963423460442954,1.01,0.099498743710662,1
4,down,0.65,0.5432834566395149,0.012970129181690144,1.818,0.9235128586002471,3
