shuffle_id,epsilon_star,peak_score,orig_epsilon_star,orig_peak_score
394,1.0,0.4322148788577044,0.18,0.7656098373095557
395,0.78,0.41559964730388343,0.18,0.7656098373095557
396,0.72,0.4360191526975023,0.18,0.7656098373095557
397,1.0,0.44598049910939874,0.18,0.7656098373095557
398,0.0,0.5639568033711618,0.18,0.7656098373095557
399,0.22,0.4244835730702174,0.18,0.7656098373095557
400,0.38,0.3410157087724407,0.18,0.7656098373095557
401,0.8,0.4631871906733172,0.18,0.7656098373095557
402,1.0,0.47277380031838967,0.18,0.7656098373095557
403,1.0,0.41398988299892625,0.18,0.7656098373095557
404,0.1,0.3684777803436158,0.18,0.7656098373095557
405,0.96,0.44348332173607774,0.18,0.7656098373095557
406,0.0,0.5686989314421811,0.18,0.7656098373095557
407,1.0,0.44160140130830305,0.18,0.7656098373095557
408,0.0,0.5719503615576748,0.18,0.7656098373095557
409,0.0,0.45333268464375515,0.18,0.7656098373095557
410,0.44,0.41930960128440053,0.18,0.7656098373095557
411,1.0,0.3922503857095452,0.18,0.7656098373095557
412,0.4,0.44689393222399915,0.18,0.7656098373095557
413,0.0,0.466022542658574,0.18,0.7656098373095557
414,0.42,0.4006528035732993,0.18,0.7656098373095557
415,0.0,0.5041895119948478,0.18,0.7656098373095557
416,0.0,0.5288348333869134,0.18,0.7656098373095557
417,0.0,0.4669890123990862,0.18,0.7656098373095557
418,0.0,0.44205755219823123,0.18,0.7656098373095557
419,0.98,0.4510020429274374,0.18,0.7656098373095557
420,1.0,0.5741766129518998,0.18,0.7656098373095557
421,0.44,0.3635681309653894,0.18,0.7656098373095557
422,0.7,0.472273391652843,0.18,0.7656098373095557
423,0.62,0.4135818125358574,0.18,0.7656098373095557
424,0.72,0.40384713757503504,0.18,0.7656098373095557
425,0.0,0.39972052655498846,0.18,0.7656098373095557
426,0.5,0.33047910699522554,0.18,0.7656098373095557
427,1.0,0.43639489007933796,0.18,0.7656098373095557
428,0.94,0.35802305922868094,0.18,0.7656098373095557
429,0.52,0.4950360356157186,0.18,0.7656098373095557
