seed,K,R_before,R_after_final,R_min_after_perturb,recovery_time,cluster_final
8,1.125,0.920428105976658,0.9204281059766579,0.8465638113579137,0.2,1
8,1.15,0.9244771756613859,0.9244771756613859,0.8524549183507273,0.22,1
8,1.175,0.9282041858984322,0.9282041858984325,0.8518496782523844,0.26,1
8,1.2,0.9316444288874952,0.9316444288874951,0.8588797061276445,0.2,1
9,0.4,0.10553379283828791,0.02892696524978571,0.003712941565057048,6.5600000000000005,1
9,0.425,0.05791445584376174,0.1481412226195342,0.021693785333377996,1.3,1
9,0.45,0.009257757359768762,0.05907747281183558,0.006184018297642971,0.0,1
9,0.475,0.17677322093928394,0.07774275293794111,0.0024627039276110753,28.92,1
9,0.5,0.12826615675605146,0.18156072913104102,0.008375442488713905,2.32,1
9,0.525,0.14724391919036986,0.046504102608547045,0.016499500166563267,0.0,1
9,0.55,0.33925060751653996,0.09326914006654023,0.051503379097923296,0.0,1
9,0.575,0.2985582100688883,0.30752291064360093,0.08458134928670151,0.0,2
9,0.6,0.39011836236482494,0.4712757566745267,0.16450212957653595,0.3,2
9,0.625,0.3274727245541215,0.6495889504062136,0.14945622974554185,0.26,1
9,0.65,0.44681688558986654,0.5590908769791549,0.23085373217387792,0.54,1
9,0.675,0.6308632372106604,0.6338814291172357,0.5718397925451505,0.66,1
9,0.7,0.7068028096983273,0.7057982088660992,0.6702411532881147,0.04,1
9,0.725,0.7485852769363023,0.7475865666497088,0.677430584557853,1.08,1
9,0.75,0.7799487909540994,0.7799316585539615,0.7145927099716598,0.76,1
9,0.775,0.8041920587869372,0.8041928523232763,0.7290529443586947,0.8,1
9,0.8,0.82365264529234,0.8236526297527926,0.740659700543817,0.76,1
9,0.825,0.8397437953816973,0.8397437959546304,0.754851457381815,0.66,1
9,0.85,0.8533304796016417,0.8533304796071164,0.7880236275430744,0.4,1
9,0.875,0.8649840958814563,0.8649840958815301,0.7957984731389158,0.38,1
9,0.9,0.875103966113772,0.8751039661137757,0.8233374398831632,0.1,1
9,0.925,0.8839807453001801,0.8839807453001804,0.8217373000322172,0.12,1
9,0.95,0.8918327266941903,0.8918327266941903,0.8323312652476277,0.2,1
9,0.975,0.8988279936515592,0.8988279936515592,0.817733476889127,0.42,1
9,1.0,0.9050986279636436,0.9050986279636435,0.820022604016516,0.5,1
9,1.025,0.9107501956025151,0.9107501956025152,0.8162701147151441,0.54,1
9,1.05,0.9158682912966696,0.9158682912966696,0.8276736060647134,0.48,1
9,1.075,0.9205231798810286,0.9205231798810287,0.8454161576526479,0.32,1
9,1.1,0.9247731658125183,0.9247731658125181,0.8428327832923741,0.32,1
9,1.125,0.9286670891294708,0.9286670891294709,0.8505224138155668,0.28,1
9,1.15,0.932246207010371,0.932246207010371,0.8706895138252909,0.12,1
9,1.175,0.9355456341625792,0.935545634162579,0.8574481780343053,0.28,1
9,1.2,0.9385954605994341,0.9385954605994341,0.8592544179851858,0.22,1
10,0.4,0.15099631859231924,0.1226142428141847,0.011918065025721796,38.94,1
10,0.425,0.09281769126395824,0.22114475135372597,0.033613831524423814,4.32,1
10,0.45,0.2948837744482784,0.1617078743065258,0.0469920753844158,0.32,1
10,0.475,0.19029669572000152,0.1400418004507828,0.13232425357240557,0.0,1
10,0.5,0.23143092476001834,0.24985799572766698,0.21171962890484702,0.0,1
10,0.525,0.2939423354480863,0.32491125922943204,0.2541386102803358,0.0,1
10,0.55,0.3825463394716476,0.4997941447806996,0.28792428070157233,7.0600000000000005,2
10,0.575,0.4155992074388747,0.3633101633778805,0.34378947780691094,3.1,2
10,0.6,0.4978658788586207,0.46776125910594474,0.41204487698242886,4.3,2
10,0.625,0.5983036049074408,0.5928890837063606,0.5344106816150566,1.26,1
10,0.65,0.6829809188770931,0.6672323939488394,0.6135536314777801,1.6400000000000001,1
10,0.675,0.7240483390682186,0.724066552413192,0.6804949610298273,0.1,1
10,0.7,0.7617253568551091,0.7629678498972711,0.6929233810703349,0.8,1
10,0.725,0.7908790994389336,0.7908220342248072,0.7304730056364891,0.28,1
10,0.75,0.8132311379039994,0.813229673824405,0.724463659117884,0.8200000000000001,1
10,0.775,0.8315356571540462,0.8315356931295075,0.7474426733769252,0.9400000000000001,1
10,0.8,0.8468382334727772,0.8468382332289125,0.7542738223403512,0.9400000000000001,1
10,0.825,0.8598434889953079,0.8598434889908498,0.7841249146054718,0.5,1
10,0.85,0.8710414370189404,0.8710414370190507,0.7757514136641729,0.76,1
10,0.875,0.8807867816804991,0.8807867816804985,0.8131638883299043,0.26,1
10,0.9,0.8893444879590809,0.889344487959081,0.8023632052618869,0.5,1
10,0.925,0.896917371760181,0.8969173717601813,0.8256241404340107,0.26,1
10,0.95,0.9036637755620536,0.9036637755620537,0.835772319739038,0.24,1
10,0.975,0.9097093811355605,0.9097093811355604,0.8345718213657237,0.4,1
10,1.0,0.915155368251131,0.9151553682511309,0.8417338710733528,0.28,1
10,1.025,0.9200842010182821,0.9200842010182821,0.8427303313466229,0.28,1
