run,direction,K,R_mean,R_std
9,forward,0.25,0.9719016210032271,7.516434092557586e-07
9,forward,0.30000000000000004,0.9830090649849517,1.6872164447576947e-06
9,forward,0.35000000000000003,0.9968985856591555,1.0686330889489255e-07
9,forward,0.4,0.9870393244687178,3.3181845071775804e-08
9,forward,0.45,0.9900074416955659,2.527688143566049e-08
9,forward,0.5,0.9916316421555152,9.832819219002042e-09
9,forward,0.55,0.9940930556836084,1.4091771943815095e-10
9,forward,0.6000000000000001,0.9977326063501722,1.3509505521075425e-10
9,forward,0.65,0.9923573430270903,3.566613008036817e-10
9,forward,0.7,0.997443391285604,1.3664061562389737e-11
9,forward,0.75,0.995501910198499,1.3590957490058457e-11
9,forward,0.8,0.995773509441367,8.694783501331628e-13
9,forward,0.8500000000000001,0.9972260333438812,5.646325883002431e-13
9,forward,0.9000000000000001,0.9989708755182996,1.1673041283260053e-14
9,forward,0.95,0.9986049883118274,1.9328326024062674e-15
9,forward,1.0,0.9986383452328335,1.4855673272323845e-15
9,forward,1.05,0.9972153408138278,7.938784927038659e-15
9,forward,1.1,0.9996852383779519,1.6152377837323443e-16
9,forward,1.1500000000000001,0.9992007718380639,1.0896788556173529e-16
9,forward,1.2,0.9991162209418415,1.2098374922832816e-16
10,forward,0.2,0.9591317017670649,0.0003347773741086347
10,forward,0.25,0.9732091831804386,1.4469722036241943e-05
10,forward,0.30000000000000004,0.9911719911785292,9.068692491042616e-07
10,forward,0.35000000000000003,0.9875761653995975,1.0165028195114985e-07
10,forward,0.4,0.971354650110341,3.290250496275987e-07
10,forward,0.45,0.9938649377823138,3.637306423560747e-08
10,forward,0.5,0.9893601633104209,1.6946494560858144e-09
10,forward,0.55,0.9932937516189562,5.051431532671979e-10
10,forward,0.6000000000000001,0.9923737802581178,5.611240803212452e-10
10,forward,0.65,0.9972753769640167,1.202230607823112e-10
10,forward,0.7,0.9977358986821815,1.906167593817562e-12
10,forward,0.75,0.998939145593691,1.702713828541743e-13
10,forward,0.8,0.9983546627269387,1.7309165631656509e-13
10,forward,0.8500000000000001,0.9960099940195354,5.92833063720675e-13
10,forward,0.9000000000000001,0.9989761392045815,1.1212847076392606e-13
10,forward,0.95,0.9991943207090649,3.065703529144609e-16
10,forward,1.0,0.9990211195241303,2.3738747416204213e-15
10,forward,1.05,0.9992985393651808,1.7835702079843144e-16
10,forward,1.1,0.9966495081496265,1.1437318012134316e-15
10,forward,1.1500000000000001,0.999167122318326,1.5736864738005262e-16
10,forward,1.2,0.9992234610864247,1.0439442312039105e-16
11,forward,0.2,0.9845072826888706,9.268092101923592e-05
11,forward,0.25,0.98974593525712,2.1862962236553678e-07
11,forward,0.30000000000000004,0.9899219055511869,2.655956718852232e-07
11,forward,0.35000000000000003,0.9851458702028542,3.344893368740921e-07
11,forward,0.4,0.9850347984339589,1.5315306993542958e-07
11,forward,0.45,0.9872711415763634,1.2230710834535392e-07
11,forward,0.5,0.9916731247163129,3.427398583968987e-09
11,forward,0.55,0.9962975752905997,6.042207090959156e-10
11,forward,0.6000000000000001,0.9967527797590068,2.9527984141375712e-12
11,forward,0.65,0.9944428759084849,7.824824212189373e-11
11,forward,0.7,0.998027256065948,9.373994850386102e-12
11,forward,0.75,0.9973479915004098,2.8292175339920653e-12
11,forward,0.8,0.9988657408586673,9.646461023838705e-14
11,forward,0.8500000000000001,0.9952793901658769,7.263125739499295e-13
11,forward,0.9000000000000001,0.9962413901493479,5.1427497182053084e-14
11,forward,0.95,0.9975857984393379,1.2864722352239719e-13
11,forward,1.0,0.9990713558058857,6.981653769546738e-15
11,forward,1.05,0.9983845230282888,2.25555681398038e-16
11,forward,1.1,0.9990357928836655,3.134455394955784e-16
11,forward,1.1500000000000001,0.9976143015748294,4.643400791812395e-16
11,forward,1.2,0.9992366762860864,1.2449853088461917e-16
12,forward,0.2,0.978668327060794,1.8938176362456242e-05
12,forward,0.25,0.9760079101282503,1.1623708497239503e-05
12,forward,0.30000000000000004,0.9839204024659466,5.073802950630818e-06
12,forward,0.35000000000000003,0.9927640643509867,4.5425791923816355e-07
12,forward,0.4,0.9856434434674016,9.559512593386802e-08
12,forward,0.45,0.9955417847782759,7.273080018998909e-09
12,forward,0.5,0.9942148926703696,7.262175015918178e-11
12,forward,0.55,0.9973087193037007,3.1146452638453866e-10
12,forward,0.6000000000000001,0.9965156565005232,2.998478385208308e-10
12,forward,0.65,0.996225447828405,1.5938487910317483e-10
12,forward,0.7,0.9981162241831157,6.1582704715373166e-12
12,forward,0.75,0.9992899967966459,1.1221063018520611e-13
12,forward,0.8,0.9943391702960374,4.311570678331702e-12
12,forward,0.8500000000000001,0.9986795093300139,5.386222289922075e-13
12,forward,0.9000000000000001,0.9982658454102077,1.7301507910762454e-14
12,forward,0.95,0.9988966113277135,5.009206044312573e-15
12,forward,1.0,0.9975030119339291,2.793371286641114e-15
12,forward,1.05,0.9989752221453656,3.514050258902461e-16
12,forward,1.1,0.9982429194704131,2.5351442995912147e-16
12,forward,1.1500000000000001,0.9979963607690601,1.2123818431320796e-16
12,forward,1.2,0.9988405916094749,1.7013360370850873e-16
13,forward,0.2,0.9893215121459146,0.0019618491261505977
13,forward,0.25,0.9875490489250414,9.578750676070351e-07
13,forward,0.30000000000000004,0.985971915045409,1.6316252738447583e-06
13,forward,0.35000000000000003,0.9898372072141877,1.7116118822060597e-07
13,forward,0.4,0.9897727323565733,1.613645190644384e-08
13,forward,0.45,0.9890044090780524,3.3787043380435593e-09
13,forward,0.5,0.9950480676607657,1.633234382506911e-09
13,forward,0.55,0.9961474250707698,1.949874144248462e-09
13,forward,0.6000000000000001,0.9977085931967236,1.1355806941674757e-10
13,forward,0.65,0.9983565873674672,4.5914579374580346e-11
13,forward,0.7,0.9988240685894353,3.3888229239179494e-12
13,forward,0.75,0.9988099096766309,7.014898005843715e-15
13,forward,0.8,0.9964279620728248,2.0880141357090155e-12
13,forward,0.8500000000000001,0.9977947072081018,5.881873867180202e-13
13,forward,0.9000000000000001,0.9994507961473544,1.604449422688662e-14
13,forward,0.95,0.9975603704355727,2.984356777317922e-14
13,forward,1.0,0.999025208063811,1.0957466303955937e-15
13,forward,1.05,0.9944994626178556,1.2755839708096201e-14
13,forward,1.1,0.9987245161828905,7.434281405045825e-16
13,forward,1.1500000000000001,0.9980813200187875,1.5818243213922008e-16
13,forward,1.2,0.9995177231006203,1.082586056082585e-16
14,forward,0.2,0.9693511547458149,0.0002665201172663067
14,forward,0.25,0.9894138715771957,1.3085652871698287e-07
14,forward,0.30000000000000004,0.9871118651174158,2.0324206169524556e-06
14,forward,0.35000000000000003,0.992692697709826,7.714441179998338e-08
14,forward,0.4,0.9930200833874703,9.981196810983958e-08
14,forward,0.45,0.9963002912211152,1.0259125717631781e-08
14,forward,0.5,0.996855924575936,1.5489639176150725e-09
14,forward,0.55,0.9947797693948777,1.7131534785581612e-10
14,forward,0.6000000000000001,0.9972609171519711,2.866492344649151e-10
14,forward,0.65,0.9941624889683328,2.53470566808382e-12
14,forward,0.7,0.996747901318483,2.1636032504579672e-11
14,forward,0.75,0.9970583544371584,5.856305128802071e-13
14,forward,0.8,0.9975396412476878,1.5456157283495116e-12
14,forward,0.8500000000000001,0.9971407951288652,8.809607608615464e-13
14,forward,0.9000000000000001,0.9987607750908624,1.3388368329709646e-13
14,forward,0.95,0.9986034079967067,2.1949645255237982e-14
14,forward,1.0,0.9984757227714285,9.972488838170397e-15
14,forward,1.05,0.9987608564749659,8.945853529678005e-16
14,forward,1.1,0.9989928065986631,1.3717732870252123e-16
