K,run,global_R,outsider_R,outsider_R_std,outsider_recruitment_score
0.44999999999999996,6,0.9039155683047853,0.5925650800751582,1.0764288659467616e-05,0.6555535725375399
0.44999999999999996,7,0.9710925533928437,0.8938529515929021,2.7286259236411167e-07,0.9204611326376676
0.44999999999999996,8,0.9804522045494672,0.9069380049637717,4.260802618961438e-09,0.9250201088380423
0.44999999999999996,9,0.9761372916097742,0.9077127633732996,1.0386065695789686e-07,0.9299027618086757
0.44999999999999996,10,0.9751867268471485,0.940747889998084,1.4428508592610084e-07,0.9646848794165068
0.44999999999999996,11,0.9536598699884024,0.9357333306206215,3.213091785181817e-08,0.9812023763053173
0.44999999999999996,12,0.943909792942836,0.8940377530296353,1.073197885303518e-06,0.9471644003621773
0.44999999999999996,13,0.8601474048718573,0.8274294546892663,2.5127830185312323e-06,0.9619623915642376
0.44999999999999996,14,0.9001718577743012,0.7830214317543519,2.563623879755192e-07,0.869857711048114
0.44999999999999996,15,0.9534232739303817,0.7654017296418142,3.6629842364521656e-06,0.8027932090284807
0.44999999999999996,16,0.9534570567694801,0.7655765648082418,5.029536846166946e-07,0.8029481342362484
0.44999999999999996,17,0.9502975503928266,0.7947942152383488,1.060420727709931e-06,0.8363635315159622
0.44999999999999996,18,0.9186322062595368,0.7644716197928233,1.987958516820799e-06,0.8321846486362015
0.44999999999999996,19,0.9444786922834049,0.8051083814956576,2.6890478215853063e-06,0.8524367866344839
0.5,0,0.9701511758307746,0.9297838075909033,6.94508542598431e-08,0.9583906413283871
0.5,1,0.8459604943883352,0.9624557058600945,2.898231881558201e-07,1.1377076261165748
0.5,2,0.9542692518386405,0.8477895188408954,3.1612602031838e-07,0.8884175165515671
0.5,3,0.917893925712046,0.6555202852614895,2.2472472157204766e-07,0.7141569051699115
0.5,4,0.9235165707316288,0.8802653648470034,1.7975536949866013e-07,0.9531668328903788
0.5,5,0.9257054281431293,0.885146341142982,4.4846917367159375e-07,0.9561857522187583
0.5,6,0.9704597821028571,0.8609944595405886,1.1919195894894195e-08,0.8872026182002526
0.5,7,0.8222459786501045,0.8250095084386208,1.8475485076022495e-06,1.003360952633724
0.5,8,0.9610993432672048,0.8915960094776448,8.252084415805675e-09,0.9276835071448339
0.5,9,0.9051231789937885,0.5390938806155966,2.127185566683307e-07,0.595602778855253
0.5,10,0.8646260491429675,0.8578872341285017,5.457698695764501e-08,0.9922060930015495
0.5,11,0.9749840166535828,0.8826458053750712,5.301477342615926e-08,0.9052925897222938
0.5,12,0.9313515741711111,0.6834596707155948,9.749458249685908e-07,0.7338363832402708
0.5,13,0.9494781191948908,0.8878720316666191,3.8404473814887524e-08,0.9351158428153714
0.5,14,0.9493299480338285,0.8255416942070032,1.374252091054065e-07,0.8696046047171748
0.5,15,0.9668128810474839,0.887906590704164,7.626406737345989e-08,0.9183851478491392
0.5,16,0.9043298883177603,0.860013117391914,1.2081377030488644e-07,0.9509949062844361
0.5,17,0.9659729981906815,0.9105057283686009,1.5524162563264652e-07,0.9425788609754969
0.5,18,0.974422004393094,0.9342069917227476,6.86714988741473e-09,0.9587293672659285
0.5,19,0.9862729370680118,0.9334822646750374,2.135629993822958e-08,0.9464745808083747
0.5499999999999999,0,0.9601752813725495,0.8929674189420972,3.261916052906589e-09,0.9300045900626497
0.5499999999999999,1,0.8466601737504524,0.8659758702260377,1.5827655311468206e-06,1.022813989689629
0.5499999999999999,2,0.9647740857667096,0.8978989640640782,7.3297172066998736e-09,0.9306831281124055
0.5499999999999999,3,0.9404668136193117,0.8929873819356094,3.543685286007611e-08,0.949515037641859
0.5499999999999999,4,0.9533932226666437,0.8554927224929731,8.557829203614096e-09,0.8973136185080697
0.5499999999999999,5,0.9448312723238302,0.7519001573340259,3.804725290989564e-07,0.7958036311434925
0.5499999999999999,6,0.9305944524045952,0.718418987152897,4.0593895495266067e-07,0.7720000751087408
0.5499999999999999,7,0.919245699556312,0.8482875266654386,1.8111371903070164e-08,0.9228082623328614
0.5499999999999999,8,0.9541753697133315,0.8989030240542453,2.496965040739973e-08,0.9420731791927996
0.5499999999999999,9,0.8647939949072452,0.7843279819130711,1.9419337387706365e-07,0.9069535479328674
