seed,K,outsider_fraction,local_boost,R,state
9,0.9249999999999999,0.05,1.0,0.9509191115559158,dual_cluster
9,0.95,0.05,1.0,0.9532344835493771,dual_cluster
9,0.975,0.05,1.0,0.955409027179024,dual_cluster
9,1.0,0.05,1.0,0.9574507121462031,dual_cluster
9,1.025,0.05,1.0,0.9593675266960815,dual_cluster
9,1.0499999999999998,0.05,1.0,0.9611673428420321,dual_cluster
9,1.075,0.05,1.0,0.9628578077020031,dual_cluster
9,1.1,0.05,1.0,0.9644462628805499,dual_cluster
9,1.125,0.05,1.0,0.9659396897648723,dual_cluster
9,1.15,0.05,1.0,0.9673446767686027,dual_cluster
9,1.1749999999999998,0.05,1.0,0.9686674040697932,dual_cluster
9,1.2,0.05,1.0,0.9699136416285006,dual_cluster
10,0.4,0.05,1.0,0.8856238003075493,dual_cluster
10,0.42500000000000004,0.05,1.0,0.8311229646469647,dual_cluster
10,0.45,0.05,1.0,0.9259568893151755,dual_cluster
10,0.47500000000000003,0.05,1.0,0.8726735669000344,dual_cluster
10,0.5,0.05,1.0,0.8629918990338743,dual_cluster
10,0.525,0.05,1.0,0.9427323783769892,dual_cluster
10,0.55,0.05,1.0,0.8852545078790182,dual_cluster
10,0.575,0.05,1.0,0.9420061054018151,dual_cluster
10,0.6,0.05,1.0,0.909431741352867,dual_cluster
10,0.625,0.05,1.0,0.9128089603909321,dual_cluster
10,0.65,0.05,1.0,0.9177101250681958,dual_cluster
10,0.675,0.05,1.0,0.9218603809545733,dual_cluster
10,0.7,0.05,1.0,0.9257768352137705,dual_cluster
10,0.725,0.05,1.0,0.929483395335182,dual_cluster
10,0.75,0.05,1.0,0.9329957402734441,dual_cluster
10,0.7749999999999999,0.05,1.0,0.9363243005807944,dual_cluster
10,0.8,0.05,1.0,0.9394763709408511,dual_cluster
10,0.825,0.05,1.0,0.942457680574351,dual_cluster
10,0.85,0.05,1.0,0.9452734678219756,dual_cluster
10,0.875,0.05,1.0,0.9479291297856848,dual_cluster
10,0.8999999999999999,0.05,1.0,0.9504305391542145,dual_cluster
10,0.9249999999999999,0.05,1.0,0.9527841264878617,dual_cluster
10,0.95,0.05,1.0,0.9549968171446923,dual_cluster
10,0.975,0.05,1.0,0.9570758935780673,dual_cluster
10,1.0,0.05,1.0,0.9590288326662177,dual_cluster
10,1.025,0.05,1.0,0.9608631488126864,dual_cluster
10,1.0499999999999998,0.05,1.0,0.9625862589891433,dual_cluster
10,1.075,0.05,1.0,0.964205375964267,dual_cluster
10,1.1,0.05,1.0,0.9657274299396397,dual_cluster
10,1.125,0.05,1.0,0.9671590156408879,dual_cluster
10,1.15,0.05,1.0,0.9685063606039563,dual_cluster
10,1.1749999999999998,0.05,1.0,0.96977531018862,dual_cluster
10,1.2,0.05,1.0,0.9709713252178809,dual_cluster
11,0.4,0.05,1.0,0.8928832141690953,dual_cluster
11,0.42500000000000004,0.05,1.0,0.8266737716168299,dual_cluster
11,0.45,0.05,1.0,0.9161316447374322,dual_cluster
11,0.47500000000000003,0.05,1.0,0.8432320336035477,dual_cluster
11,0.5,0.05,1.0,0.9329568714782782,dual_cluster
11,0.525,0.05,1.0,0.8627949883909772,dual_cluster
11,0.55,0.05,1.0,0.9308624816777868,dual_cluster
11,0.575,0.05,1.0,0.9254928900733176,dual_cluster
11,0.6,0.05,1.0,0.8901606703234434,dual_cluster
11,0.625,0.05,1.0,0.9110988772863391,dual_cluster
11,0.65,0.05,1.0,0.9160640186948995,dual_cluster
11,0.675,0.05,1.0,0.9203343817118715,dual_cluster
11,0.7,0.05,1.0,0.9243539498160287,dual_cluster
11,0.725,0.05,1.0,0.928150247876213,dual_cluster
11,0.75,0.05,1.0,0.9317418263202037,dual_cluster
11,0.7749999999999999,0.05,1.0,0.9351413741771692,dual_cluster
11,0.8,0.05,1.0,0.9383579024254274,dual_cluster
11,0.825,0.05,1.0,0.9413984011035731,dual_cluster
11,0.85,0.05,1.0,0.9442690086994444,dual_cluster
11,0.875,0.05,1.0,0.9469757535125478,dual_cluster
11,0.8999999999999999,0.05,1.0,0.9495249502182216,dual_cluster
11,0.9249999999999999,0.05,1.0,0.9519233454053141,dual_cluster
11,0.95,0.05,1.0,0.9541781008326223,dual_cluster
11,0.975,0.05,1.0,0.9562966873091738,dual_cluster
11,1.0,0.05,1.0,0.9582867421282867,dual_cluster
11,1.025,0.05,1.0,0.9601559240871378,dual_cluster
11,1.0499999999999998,0.05,1.0,0.9619117850297464,dual_cluster
11,1.075,0.05,1.0,0.9635616662313472,dual_cluster
11,1.1,0.05,1.0,0.9651126212759337,dual_cluster
11,1.125,0.05,1.0,0.966571363396116,dual_cluster
11,1.15,0.05,1.0,0.9679442335704204,dual_cluster
11,1.1749999999999998,0.05,1.0,0.9692371852215033,dual_cluster
11,1.2,0.05,1.0,0.9704557815723058,dual_cluster
12,0.4,0.05,1.0,0.8191213339593391,dual_cluster
