K,kick_strength,R_pre_mean_mean,R_pre_mean_std,R_post_mean_mean,R_post_mean_std,R_change_mean,R_change_std,cluster_change_mean,cluster_change_std,kick_distance_mean,kick_distance_std,recovery_similarity_mean,recovery_similarity_std,memory_loss_mean,memory_loss_std,core_overlap_mean,core_overlap_std,new_core_fraction_mean,new_core_fraction_std,irreversibility_score_mean,irreversibility_score_std,reversible_fraction,metastable_fraction,irreversible_fraction
0.6,0.9,0.41695963168685085,0.07260707124064479,0.41975343936209136,0.06830100018523985,0.01510928988558396,0.011984756005540623,0.3302333333333333,0.22212490822463188,0.3344453021287236,0.022826270986153873,0.7010412838025579,0.1864089070402012,0.298958716197442,0.1864089070402012,0.41916666666666663,0.4410008221604568,0.5808333333333333,0.4410008221604568,0.9661277053355046,0.5272532693694725,0.1,0.35,0.55
0.6,1.0,0.41695963168685085,0.07260707124064479,0.4205651272217385,0.06869730020124412,0.013988457498368115,0.011237081247645305,0.3023,0.2306367970722424,0.3951348454840403,0.02573953612169263,0.7175846558869172,0.16358267446591276,0.28241534411308283,0.1635826744659128,0.37583333333333335,0.43264030276772336,0.6241666666666666,0.43264030276772336,0.9856541251543416,0.4733995400633601,0.1,0.3,0.6
0.65,0.0,0.5401718301629187,0.10959081723356434,0.5427674512702645,0.1051538853246219,0.00862484973303688,0.012495505151178157,0.2001666666666666,0.1463915881327318,0.0,0.0,0.9020535426714684,0.09972617054208155,0.09794645732853155,0.09972617054208155,0.24916666666666668,0.3596406182135242,0.7508333333333334,0.3596406182135241,0.9009776697617908,0.39685122268216133,0.15,0.15,0.7
0.65,0.1,0.5401718301629187,0.10959081723356434,0.5448005190724876,0.10271325149607737,0.010706566872781292,0.015508353421840733,0.24926666666666675,0.20129730129530277,0.0050052179181845294,0.0004168250027602328,0.9039508729512061,0.10910474650455904,0.0960491270487939,0.10910474650455904,0.33333333333333337,0.40007309273701935,0.6666666666666667,0.40007309273701935,0.8277091021003227,0.4466655334584445,0.25,0.1,0.65
0.65,0.2,0.5401718301629187,0.10959081723356434,0.5439234461799662,0.10407503572732071,0.008835371201237698,0.011938696707578224,0.21953333333333336,0.16452790516793017,0.019872739028975683,0.0016425761674761924,0.8966349775742032,0.1569169596834031,0.10336502242579688,0.15691695968340308,0.425,0.39249166564697796,0.575,0.392491665646978,0.7354571985594397,0.4727875800496765,0.35,0.1,0.55
0.65,0.3,0.5401718301629187,0.10959081723356434,0.5426827564448138,0.10585640956656307,0.012402100112401952,0.019165794463830058,0.1996333333333334,0.14108559469074,0.04416520534539563,0.0036050553681144684,0.8930214374336266,0.150552101385428,0.10697856256637346,0.150552101385428,0.6316666666666666,0.34547619479436015,0.36833333333333335,0.3454761947943601,0.5283207542611407,0.43035233881060153,0.5,0.25,0.25
0.65,0.4,0.5401718301629187,0.10959081723356434,0.5425089100763675,0.10609634607097239,0.010274416886533373,0.01396289061813945,0.2251666666666668,0.1576781643372725,0.07717671473485552,0.006190316533703947,0.9215319490273423,0.07217043666754328,0.07846805097265769,0.07217043666754328,0.6258333333333332,0.3905115478521063,0.37416666666666665,0.39051154785210634,0.5114949885276243,0.43940352531282556,0.55,0.2,0.25
0.65,0.5,0.5401718301629187,0.10959081723356434,0.5394461387269202,0.10883864749435941,0.008249294139514637,0.015176407964645144,0.19593333333333335,0.15858392358216342,0.11796585834561298,0.009251582888256739,0.9116604528654962,0.07878276658717313,0.08833954713450383,0.07878276658717312,0.6333333333333333,0.3890308846862497,0.3666666666666667,0.38903088468624963,0.5060518706693825,0.4606281428994932,0.55,0.15,0.3
0.65,0.6,0.5401718301629187,0.10959081723356434,0.5375821368352616,0.11072963581223959,0.008371722119572673,0.014409858864725216,0.17990000000000003,0.14608229275757534,0.16539907327823805,0.012620482702679178,0.9089902449623052,0.08749697961614726,0.09100975503769476,0.08749697961614727,0.635,0.3965826241500978,0.365,0.3965826241500978,0.503077685567588,0.4612277273616383,0.6,0.1,0.3
0.65,0.7,0.5401718301629187,0.10959081723356434,0.5375688811160269,0.11061859420581367,0.0071139103864148205,0.012353401287374275,0.20613333333333345,0.14791741017851195,0.21820165710832767,0.01611951376397818,0.9088875557636337,0.08786512086094878,0.09111244423636623,0.08786512086094878,0.6783333333333333,0.3846126630582973,0.32166666666666666,0.3846126630582973,0.46609092183296996,0.45275932491572296,0.55,0.2,0.25
0.65,0.8,0.5401718301629187,0.10959081723356434,0.5315812172440714,0.11851573582519853,0.009921048644385016,0.015084317880512049,0.24690000000000017,0.2035762454691073,0.27501336509577834,0.019574552190271176,0.8773661854839876,0.15090551961710463,0.12263381451601243,0.1509055196171046,0.7066666666666667,0.3774878488420413,0.29333333333333333,0.3774878488420413,0.4801724100104421,0.5254211624891723,0.55,0.25,0.2
0.65,0.9,0.5401718301629187,0.10959081723356434,0.5323130067337614,0.11797498825632044,0.009696987074469834,0.01654105711984185,0.28870000000000007,0.21087813891839108,0.3344453021287236,0.02282627098615389,0.8932188657263804,0.13574375286492432,0.10678113427361964,0.13574375286492432,0.7008333333333333,0.3717933070375188,0.2991666666666667,0.3717933070375188,0.48054704770890383,0.5192429302434841,0.65,0.1,0.25
0.65,1.0,0.5401718301629187,0.10959081723356434,0.5386279984965385,0.10946108226748087,0.007999162034162255,0.01112511876387768,0.19100000000000011,0.13246180073881972,0.3951348454840403,0.02573953612169263,0.9313360716408889,0.06418467229730344,0.06866392835911103,0.06418467229730344,0.7366666666666667,0.3538262037443529,0.2633333333333333,0.353826203744353,0.381747052200985,0.3865376449693047,0.7,0.1,0.2
