K,kick_strength,seed,R_pre_mean,R_post_mean,R_change,cluster_pre_mean,cluster_post_mean,cluster_change,cluster_pre_mode,cluster_post_mode,cluster_shift,kick_distance,recovery_similarity,memory_loss,core_overlap,new_core_fraction,irreversibility_score,regime
0.4,0.3,16,0.08460491641213293,0.09070638583316035,0.0061014694210274195,0.048,0.07133333333333333,0.02333333333333333,0,0,0,0.04385319866641246,0.0427320986903775,0.9572679013096225,0.85,0.15000000000000002,1.1146266019982127,irreversible
0.4,0.3,17,0.12597026089492133,0.131335296457149,0.005365035562227671,0.07266666666666667,0.066,0.006666666666666668,0,0,0,0.045336698142943166,0.19455119611620794,0.805448803883792,0.8666666666666667,0.1333333333333333,0.941790062774349,irreversible
0.4,0.3,18,0.0931473445238972,0.1340478123793491,0.0409004678554519,0.034666666666666665,0.04,0.005333333333333336,0,0,0,0.04592561741286427,0.16594298149689293,0.8340570185031071,0.9166666666666666,0.08333333333333337,0.9289488021336367,irreversible
0.4,0.3,19,0.11528260354457787,0.10327293369699445,0.01200966984758342,0.07066666666666667,0.042666666666666665,0.028000000000000004,0,0,0,0.04228468101897398,0.13322309775564348,0.8667769022443566,0.8833333333333333,0.1166666666666667,0.9934459863729191,irreversible
0.4,0.4,0,0.09401153766645147,0.07335042341784426,0.020661114248607212,0.03666666666666667,0.023333333333333334,0.013333333333333332,0,0,0,0.078596769228518,0.019123810279396226,0.9808761897206038,0.8833333333333333,0.1166666666666667,1.1060414682827557,irreversible
0.4,0.4,1,0.14217452722414173,0.13110881209123357,0.01106571513290816,0.10733333333333334,0.06666666666666667,0.04066666666666667,0,0,0,0.08561117446767541,0.24731892441305506,0.752681075586945,0.7333333333333333,0.2666666666666667,1.0322808377035053,irreversible
0.4,0.4,2,0.10195446625585115,0.07895361037948419,0.023000855876366966,0.05466666666666667,0.042666666666666665,0.012000000000000004,0,0,0,0.08195835964297293,0.10953488060003058,0.8904651193999694,0.9166666666666666,0.08333333333333337,0.9825486667023945,irreversible
0.4,0.4,3,0.09355334649588794,0.11135392544943758,0.01780057895354964,0.04066666666666666,0.048666666666666664,0.008,0,0,0,0.06492912668400885,0.14328075709538124,0.8567192429046188,0.8833333333333333,0.1166666666666667,0.9798360543096729,irreversible
0.4,0.4,4,0.08825558066894033,0.14939175872457755,0.061136178055637216,0.02266666666666667,0.088,0.06533333333333333,0,0,0,0.07071109653724983,0.11234855945439279,0.8876514405456072,0.6833333333333333,0.31666666666666665,1.2359354850595166,irreversible
0.4,0.4,5,0.1258628326307061,0.12501586061546247,0.0008469720152436411,0.07666666666666666,0.08133333333333333,0.004666666666666666,0,0,0,0.0750690014097507,0.08214889874223807,0.9178511012577619,0.8333333333333334,0.16666666666666663,1.085896177594906,irreversible
0.4,0.4,6,0.08282277859058966,0.08816339856971024,0.005340619979120581,0.05266666666666667,0.05,0.0026666666666666644,0,0,0,0.08301100111133863,0.09728289279454704,0.902717107205453,0.8166666666666667,0.18333333333333335,1.088052262200233,irreversible
0.4,0.4,7,0.2152299246299264,0.22130566722458486,0.0060757425946584565,0.16666666666666666,0.22733333333333333,0.060666666666666674,0,0,0,0.08893318175785403,0.3145588101854343,0.6854411898145657,0.35,0.65,1.3521267921298972,irreversible
